,Income,LoanAmount,CreditHistory,Approved
87,2500.0,104.0,1,1
88,8566.0,210.0,1,1
89,5695.0,175.0,1,1
90,2958.0,131.0,1,1
91,6250.0,188.0,1,1
92,3273.0,81.0,1,1
93,4133.0,122.0,1,1
94,3620.0,25.0,1,1
95,6782.0,128.0,1,0
96,2484.0,137.0,1,1
97,1977.0,50.0,1,1
98,4188.0,115.0,1,1
99,1759.0,131.0,1,1
100,4288.0,133.0,1,1
101,4843.0,151.0,1,1
102,13650.0,128.0,1,1
103,4652.0,128.0,1,1
104,3816.0,160.0,1,1
105,3052.0,100.0,1,1
106,11417.0,225.0,1,1
107,7333.0,120.0,1,0
108,3800.0,216.0,0,0
109,2071.0,94.0,1,1
110,5316.0,136.0,1,1
111,2929.0,139.0,1,1
112,3572.0,152.0,0,0
113,7451.0,128.0,1,1
114,5050.0,118.0,1,1
115,14583.0,185.0,1,1
116,3167.0,154.0,1,1
117,2214.0,85.0,1,1
118,5568.0,175.0,1,0
119,10408.0,259.0,1,1
120,5667.0,180.0,1,1
121,4166.0,44.0,1,1
122,2137.0,137.0,0,1
123,2957.0,81.0,1,1
124,4300.0,194.0,1,1
125,3692.0,93.0,1,1
126,23803.0,370.0,1,1
127,3865.0,128.0,1,1
128,10513.0,160.0,0,0
129,6080.0,182.0,1,0
130,20166.0,650.0,1,1
131,2014.0,74.0,1,1
132,2718.0,70.0,1,1
133,3459.0,25.0,1,1
134,4895.0,102.0,1,1
135,4000.0,290.0,1,0
136,4583.0,84.0,1,0
137,3316.0,88.0,1,1
138,14999.0,242.0,0,0
139,4200.0,129.0,1,0
140,5042.0,185.0,1,0
141,5417.0,168.0,1,1
142,6950.0,175.0,1,1
143,2698.0,122.0,1,1
144,11757.0,187.0,1,1
145,2330.0,100.0,1,1
146,14866.0,70.0,1,1
147,1538.0,30.0,1,1
148,10000.0,225.0,1,0
149,4860.0,125.0,1,1
150,6277.0,118.0,0,0
151,2577.0,152.0,1,1
152,9166.0,244.0,1,0
153,2281.0,113.0,1,0
154,3254.0,50.0,1,1
155,39999.0,600.0,0,1
156,6000.0,160.0,1,1
157,9538.0,187.0,1,1
158,2980.0,120.0,1,1
159,4583.0,255.0,1,1
160,1863.0,98.0,1,1
161,7933.0,275.0,1,0
162,3089.0,121.0,0,0
163,4167.0,158.0,1,1
164,9323.0,75.0,1,1
165,3707.0,182.0,1,1
166,4583.0,112.0,1,0
167,2439.0,129.0,1,1
168,2237.0,63.0,0,0
169,8000.0,200.0,1,1
170,1820.0,95.0,1,1
171,51763.0,700.0,1,1
172,3522.0,81.0,1,0
173,5708.0,187.0,1,1
174,4344.0,87.0,1,0
175,3497.0,116.0,1,1
176,2045.0,101.0,1,1
177,5516.0,495.0,0,0
178,3750.0,116.0,1,1
179,2333.0,102.0,0,0
180,6400.0,180.0,0,0
181,1916.0,67.0,1,0
182,4600.0,73.0,1,1
183,33846.0,260.0,1,0
184,3625.0,108.0,1,1
185,39147.0,120.0,1,1
186,2178.0,66.0,0,0
187,2383.0,58.0,1,1
188,674.0,168.0,1,1
189,9328.0,188.0,1,1
190,4885.0,48.0,1,1
191,12000.0,164.0,1,0
192,6033.0,160.0,1,0
193,3858.0,76.0,1,1
194,4191.0,120.0,1,1
195,3125.0,170.0,1,0
196,8333.0,187.0,1,1
197,1907.0,120.0,1,1
198,3416.0,113.0,1,1
199,11000.0,83.0,1,0
200,2600.0,90.0,1,1
201,4923.0,166.0,0,1
202,3992.0,128.0,1,0
203,3500.0,135.0,1,1
204,3917.0,124.0,1,1
205,4408.0,120.0,1,1
206,3244.0,80.0,1,1
207,3975.0,55.0,1,1
208,2479.0,59.0,1,1
209,3418.0,127.0,1,0
210,10000.0,214.0,1,0
211,3430.0,128.0,0,0
212,7787.0,240.0,1,1
213,5703.0,130.0,1,1
214,3173.0,137.0,1,1
215,3850.0,100.0,1,1
216,150.0,135.0,1,0
217,3727.0,131.0,1,1
218,5000.0,72.0,0,0
219,4283.0,127.0,1,1
220,2221.0,60.0,0,0
221,4009.0,116.0,1,1
222,2971.0,144.0,1,1
223,7578.0,175.0,1,1
224,6250.0,128.0,1,1
225,3250.0,170.0,1,0
226,4735.0,138.0,1,0
227,6250.0,210.0,1,1
228,4758.0,158.0,1,1
229,6400.0,200.0,1,1
230,2491.0,104.0,1,1
231,3716.0,42.0,1,1
232,3189.0,120.0,1,1
233,8333.0,280.0,1,1
234,3155.0,140.0,1,1
235,5500.0,170.0,1,1
236,5746.0,255.0,1,0
237,3463.0,122.0,1,1
238,3812.0,112.0,1,1
239,3315.0,96.0,1,1
240,5819.0,120.0,1,1
241,2510.0,140.0,1,0
242,2965.0,155.0,1,1
243,6250.0,108.0,1,1
244,3406.0,123.0,1,1
245,6050.0,120.0,1,0
246,9703.0,112.0,1,1
247,6608.0,137.0,1,1
248,2882.0,123.0,1,1
249,1809.0,90.0,1,1
250,1668.0,201.0,0,0
251,3427.0,138.0,1,0
252,2583.0,104.0,1,1
253,2661.0,279.0,1,1
254,16250.0,192.0,0,0
255,3083.0,255.0,1,1
256,6045.0,115.0,0,0
257,5250.0,94.0,1,0
258,14683.0,304.0,1,0
259,4931.0,128.0,1,0
260,6083.0,330.0,1,1
261,2060.0,134.0,1,1
262,3481.0,155.0,1,0
263,7200.0,120.0,1,1
264,5166.0,128.0,1,1
265,4095.0,151.0,1,1
266,4708.0,150.0,1,1
267,4333.0,160.0,0,1
268,3418.0,135.0,1,0
269,2876.0,90.0,1,1
270,3237.0,30.0,1,1
271,11146.0,136.0,1,1
272,2833.0,126.0,1,1
273,2620.0,150.0,1,1
274,3900.0,90.0,1,1
275,2750.0,115.0,1,1
276,3993.0,207.0,1,1
277,3103.0,80.0,1,1
278,14583.0,436.0,1,1
279,4100.0,124.0,1,1
280,4053.0,158.0,0,0
281,3927.0,112.0,1,1
282,2301.0,78.0,1,1
283,1811.0,54.0,1,1
284,20667.0,128.0,1,0
285,3158.0,89.0,1,1
286,2600.0,99.0,1,0
287,3704.0,120.0,1,1
288,4124.0,115.0,1,1
289,9508.0,187.0,1,1
290,3075.0,139.0,1,1
291,4400.0,127.0,0,0
292,3153.0,134.0,1,1
293,5417.0,143.0,0,0
294,2383.0,172.0,1,1
295,4416.0,110.0,1,1
296,6875.0,200.0,1,1
297,4666.0,135.0,1,1
298,5000.0,151.0,1,0
299,2014.0,113.0,1,0
300,1800.0,93.0,0,0
301,2875.0,105.0,1,1
302,5000.0,132.0,1,1
303,1625.0,96.0,1,1
304,4000.0,140.0,1,1
305,2000.0,128.0,1,0
306,3762.0,135.0,1,1
307,2400.0,104.0,0,0
308,20233.0,480.0,1,0
309,7667.0,185.0,1,1
310,2917.0,84.0,1,1
311,2927.0,111.0,1,1
312,2507.0,56.0,1,1
313,5746.0,144.0,1,1
314,2473.0,159.0,1,0
315,3399.0,111.0,1,1
316,3717.0,120.0,1,1
317,2058.0,88.0,1,1
318,3541.0,112.0,1,1
319,10000.0,155.0,1,0
320,2400.0,115.0,1,1
321,4342.0,124.0,1,1
322,3601.0,128.0,1,1
323,3166.0,132.0,1,1
324,15000.0,300.0,1,1
325,8666.0,376.0,0,0
326,4917.0,130.0,0,1
327,5818.0,184.0,1,1
328,4333.0,110.0,1,0
329,2500.0,67.0,1,1
330,4384.0,117.0,1,1
331,2935.0,98.0,1,1
332,2833.0,71.0,1,1
333,63337.0,490.0,1,1
334,9833.0,182.0,1,1
335,5503.0,70.0,1,1
336,5250.0,160.0,1,1
337,2500.0,176.0,1,1
338,1830.0,128.0,0,0
339,4160.0,71.0,1,1
340,2647.0,173.0,1,0
341,2378.0,46.0,1,0
342,4554.0,158.0,1,1
343,3173.0,74.0,1,1
344,2583.0,125.0,1,1
345,2499.0,160.0,1,1
346,3523.0,152.0,0,0
347,3083.0,126.0,1,1
348,6333.0,259.0,1,1
349,2625.0,187.0,1,1
350,9083.0,228.0,1,1
351,8750.0,308.0,1,0
352,2666.0,95.0,1,1
353,5500.0,105.0,0,0
354,2423.0,130.0,1,1
355,3813.0,116.0,1,1
356,8333.0,165.0,1,1
357,3875.0,67.0,1,0
358,3000.0,100.0,0,0
359,5167.0,200.0,1,1
360,4723.0,81.0,1,0
361,5000.0,236.0,1,1
362,4750.0,130.0,1,1
363,3013.0,95.0,1,1
364,6822.0,141.0,1,1
365,6216.0,133.0,1,0
366,2500.0,96.0,1,0
367,5124.0,124.0,0,0
368,6325.0,175.0,1,1
369,19730.0,570.0,1,0
370,15759.0,55.0,1,1
371,5185.0,155.0,1,1
372,9323.0,380.0,1,1
373,3062.0,111.0,0,0
374,2764.0,110.0,1,1
375,4817.0,120.0,1,1
376,8750.0,130.0,1,1
377,4310.0,130.0,1,1
378,3069.0,71.0,1,0
379,5391.0,130.0,1,1
380,3333.0,128.0,1,1
381,5941.0,296.0,1,1
382,6000.0,156.0,1,1
383,7167.0,128.0,1,1
384,4566.0,100.0,1,0
385,3667.0,113.0,1,1
386,2346.0,132.0,1,1
387,3010.0,128.0,0,0
388,2333.0,136.0,1,1
389,5488.0,125.0,1,1
390,9167.0,185.0,1,1
391,9504.0,275.0,1,1
392,2583.0,120.0,1,1
393,1993.0,113.0,1,1
394,3100.0,113.0,1,1
395,3276.0,135.0,1,1
396,3180.0,71.0,0,0
397,3033.0,95.0,1,1
398,3902.0,109.0,1,1
399,1500.0,103.0,0,0
400,2889.0,45.0,0,0
401,2755.0,65.0,1,0
402,2500.0,103.0,1,1
403,1963.0,53.0,1,1
404,7441.0,194.0,1,0
405,4547.0,115.0,1,1
406,2167.0,115.0,1,1
407,2213.0,66.0,1,1
408,8300.0,152.0,0,0
409,81000.0,360.0,0,0
410,3867.0,62.0,1,0
411,6256.0,160.0,1,1
412,6096.0,218.0,0,0
413,2253.0,110.0,1,1
414,2149.0,178.0,0,0
415,2995.0,60.0,1,1
416,2600.0,160.0,1,0
417,1600.0,239.0,1,0
418,1025.0,112.0,1,1
419,3246.0,138.0,1,1
420,5829.0,138.0,1,1
421,2720.0,80.0,0,0
422,1820.0,100.0,1,1
423,7250.0,110.0,0,0
424,14880.0,96.0,1,1
425,2666.0,121.0,1,1
426,4606.0,81.0,1,0
427,5935.0,133.0,1,1
428,2920.0,87.0,1,1
429,2717.0,60.0,1,1
430,8624.0,150.0,1,1
431,6500.0,105.0,0,0
432,12876.0,405.0,1,1
433,2425.0,143.0,1,1
434,3750.0,100.0,1,1
435,10047.0,128.0,1,1
436,1926.0,50.0,1,1
437,2213.0,128.0,1,1
438,10416.0,187.0,0,0
439,7142.0,138.0,1,1
440,3660.0,187.0,1,1
441,7901.0,180.0,1,1
442,4707.0,148.0,1,1
443,37719.0,152.0,1,1
444,7333.0,175.0,1,1
445,3466.0,130.0,1,1
446,4652.0,110.0,1,1
447,3539.0,55.0,1,0
448,3340.0,150.0,0,0
449,2769.0,190.0,1,0
450,2309.0,125.0,0,0
451,1958.0,60.0,1,1
452,3948.0,149.0,0,0
453,2483.0,90.0,0,1
454,7085.0,84.0,1,1
455,3859.0,96.0,1,1
456,4301.0,118.0,1,1
457,3708.0,173.0,1,0
458,4354.0,136.0,1,1
459,8334.0,160.0,1,0
460,2083.0,160.0,1,1
461,7740.0,128.0,1,1
462,3015.0,153.0,1,1
463,5191.0,132.0,1,1
464,4166.0,98.0,0,0
465,6000.0,140.0,1,1
466,2947.0,70.0,0,0
467,16692.0,110.0,1,1
468,210.0,98.0,1,1
469,4333.0,110.0,1,0
470,3450.0,162.0,1,1
471,2653.0,113.0,0,0
472,4691.0,100.0,1,1
473,2500.0,93.0,1,1
474,5532.0,162.0,1,1
475,16525.0,150.0,1,1
476,6700.0,230.0,1,1
477,2873.0,132.0,0,0
478,16667.0,86.0,1,1
479,2947.0,128.0,1,0
480,4350.0,154.0,1,1
481,3095.0,113.0,1,1
482,2083.0,128.0,1,1
483,10833.0,234.0,1,1
484,8333.0,246.0,1,1
485,1958.0,131.0,1,1
486,3547.0,80.0,0,0
487,18333.0,500.0,1,0
488,4583.0,160.0,1,1
489,2435.0,75.0,1,0
490,2699.0,96.0,1,1
491,5333.0,186.0,1,1
492,3691.0,110.0,1,1
493,17263.0,225.0,1,1
494,3597.0,119.0,0,0
495,3326.0,105.0,1,1
496,2600.0,107.0,1,1
497,4625.0,111.0,1,1
498,2895.0,95.0,1,1
499,6283.0,209.0,0,0
500,645.0,113.0,1,1
501,3159.0,100.0,1,1
502,4865.0,208.0,1,1
503,4050.0,138.0,1,0
504,3814.0,124.0,1,1
505,3510.0,243.0,1,1
506,20833.0,480.0,1,1
507,3583.0,96.0,1,0
508,2479.0,188.0,1,1
509,13262.0,40.0,1,1
510,3598.0,100.0,1,0
511,6065.0,250.0,1,1
512,3283.0,148.0,1,1
513,2130.0,70.0,1,0
514,5815.0,311.0,1,0
515,3466.0,150.0,1,1
516,2031.0,113.0,1,1
517,3074.0,123.0,0,0
518,4683.0,185.0,1,0
519,3400.0,95.0,1,0
520,2192.0,45.0,1,1
521,2500.0,55.0,1,1
522,5677.0,100.0,1,1
523,7948.0,480.0,1,1
524,4680.0,128.0,1,0
525,17500.0,400.0,1,1
526,3775.0,110.0,1,1
527,5285.0,161.0,0,1
528,2679.0,94.0,1,1
529,6783.0,130.0,1,1
530,1025.0,216.0,1,1
531,4281.0,100.0,1,1
532,3588.0,110.0,0,0
533,11250.0,196.0,1,0
534,18165.0,125.0,1,1
535,2550.0,126.0,1,1
536,6133.0,324.0,1,1
537,3617.0,107.0,1,1
538,2917.0,66.0,1,0
539,6417.0,157.0,1,1
540,4608.0,140.0,1,1
541,2138.0,99.0,0,0
542,3652.0,95.0,1,1
543,2239.0,128.0,1,1
544,3017.0,102.0,1,1
545,2768.0,155.0,1,1
546,3358.0,80.0,1,0
547,2526.0,145.0,1,1
548,5000.0,103.0,0,0
549,2785.0,110.0,1,1
550,6633.0,128.0,0,0
551,2492.0,128.0,1,1
552,3333.0,158.0,1,1
553,2454.0,181.0,0,0
554,3593.0,132.0,0,0
555,5468.0,26.0,1,1
556,2667.0,84.0,1,1
557,10139.0,260.0,1,1
558,3887.0,162.0,1,1
559,4180.0,182.0,1,1
560,3675.0,108.0,1,1
561,19484.0,600.0,1,1
562,5923.0,211.0,1,1
563,5800.0,132.0,1,1
564,8799.0,258.0,0,0
565,4467.0,120.0,1,1
566,3333.0,70.0,1,1
567,3400.0,123.0,0,0
568,2378.0,9.0,1,0
569,3166.0,104.0,0,0
570,3417.0,186.0,1,1
571,5116.0,165.0,0,0
572,16666.0,275.0,1,1
573,6125.0,187.0,1,0
574,6406.0,150.0,1,0
575,3159.0,108.0,1,1
576,3087.0,136.0,0,0
577,3229.0,110.0,1,1
578,1782.0,107.0,1,1
579,3182.0,161.0,1,1
580,6540.0,205.0,1,1
581,1836.0,90.0,1,0
582,3166.0,36.0,1,1
583,1880.0,61.0,1,0
584,2787.0,146.0,0,0
585,4283.0,172.0,1,0
586,2297.0,104.0,1,1
587,2165.0,70.0,1,1
588,4750.0,94.0,1,1
589,2726.0,106.0,0,0
590,3000.0,56.0,1,1
591,6000.0,205.0,1,0
592,9357.0,292.0,1,1
593,3859.0,142.0,1,1
594,16120.0,260.0,1,1
595,3833.0,110.0,1,1
596,6383.0,187.0,1,0
597,2987.0,88.0,0,0
598,9963.0,180.0,1,1
599,5780.0,192.0,1,1
600,416.0,350.0,1,0
601,2894.0,155.0,1,1
602,5703.0,128.0,1,1
603,3676.0,172.0,1,1
604,12000.0,496.0,1,1
605,2400.0,128.0,1,0
606,3400.0,173.0,1,1
607,3987.0,157.0,1,1
608,3232.0,108.0,1,1
609,2900.0,71.0,1,1
610,4106.0,40.0,1,1
611,8072.0,253.0,1,1
612,7583.0,187.0,1,1
613,4583.0,133.0,0,0
